#n= 17, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
17, 0.012964, 1.463044
17, 0.012941, 1.452657
17, 0.013322, 1.473605
17, 0.013425, 1.460005
17, 0.013305, 1.467209
17, 0.013343, 1.467462
17, 0.013141, 1.459265
17, 0.013190, 1.467451
17, 0.013149, 1.464409
17, 0.013048, 1.478963
17, 0.013036, 1.452800
17, 0.013194, 1.460788
17, 0.013323, 1.470300
17, 0.012883, 1.461100
17, 0.012862, 1.460320
17, 0.012831, 1.467246
17, 0.013005, 1.461695
17, 0.012977, 1.465480
17, 0.012908, 1.464593
17, 0.064550, 1.475395
17, 0.012982, 1.468122
17, 0.012931, 1.469949
17, 0.013001, 1.468386
17, 0.012865, 1.487076
17, 0.012893, 1.463750
17, 0.012908, 1.471014
17, 0.013193, 1.466645
17, 0.012893, 1.467438
17, 0.012920, 1.467995
17, 0.014660, 1.455894
17, 0.012837, 1.450985
17, 0.012877, 1.453735
17, 0.012930, 1.462169
17, 0.012953, 1.460314
17, 0.012963, 1.450337
17, 0.012805, 1.469073
17, 0.012805, 1.458062
17, 0.013060, 1.453055
17, 0.045929, 1.459796
17, 0.014322, 1.474506
17, 0.012907, 1.461672
17, 0.012913, 1.463913
17, 0.012954, 1.466700
17, 0.012942, 1.461761
17, 0.012877, 1.474904
17, 0.012980, 1.472964
17, 0.012936, 1.460920
17, 0.012801, 1.459207
17, 0.012917, 1.466507
17, 0.012958, 1.473856
17, 0.013361, 1.457638
17, 0.013283, 1.460666
17, 0.013446, 1.458347
17, 0.012901, 1.456754
17, 0.013124, 1.468035
17, 0.012888, 1.462878
17, 0.013064, 1.465342
17, 0.012813, 1.466543
17, 0.012765, 1.459466
17, 0.012975, 1.450950
17, 0.012893, 1.457408
17, 0.012882, 1.461780
17, 0.012940, 1.459665
17, 0.013031, 1.463621
17, 0.013003, 1.471154
17, 0.013110, 1.466529
17, 0.012980, 1.456424
17, 0.012918, 1.463070
17, 0.012870, 1.482656
17, 0.012921, 1.458641
17, 0.012993, 1.461756
17, 0.012883, 1.458688
17, 0.013077, 1.466843
17, 0.012914, 1.460101
17, 0.012948, 1.453372
17, 0.013097, 1.466000
17, 0.013004, 1.459762
17, 0.012969, 1.463492
17, 0.013082, 1.472376
17, 0.013104, 1.459357
17, 0.012830, 1.456954
17, 0.012991, 1.458756
17, 0.013511, 1.473121
17, 0.012861, 1.464121
17, 0.012896, 1.458829
17, 0.012810, 1.452027
17, 0.013070, 1.448848
17, 0.013067, 1.445599
17, 0.013016, 1.459628
17, 0.013034, 1.452159
17, 0.013071, 1.446001
17, 0.012826, 1.451187
17, 0.013179, 1.467617
17, 0.012796, 1.455124
17, 0.012746, 1.457222
17, 0.013009, 1.458215
17, 0.013058, 1.456217
17, 0.012985, 1.460433
17, 0.013002, 1.463618
17, 0.012916, 1.460192
