#n= 8, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
8, 0.003607, 0.299796
8, 0.003235, 0.306527
8, 0.003417, 0.301600
8, 0.003225, 0.301835
8, 0.003206, 0.298730
8, 0.003411, 0.302598
8, 0.003235, 0.301766
8, 0.003364, 0.300652
8, 0.003215, 0.305849
8, 0.003203, 0.300088
8, 0.003207, 0.300716
8, 0.003439, 0.303731
8, 0.003271, 0.301244
8, 0.003285, 0.301079
8, 0.003283, 0.302716
8, 0.003232, 0.302250
8, 0.003411, 0.300701
8, 0.003426, 0.300621
8, 0.003258, 0.300126
8, 0.003215, 0.300825
8, 0.003295, 0.301158
8, 0.003208, 0.299635
8, 0.003231, 0.298909
8, 0.003366, 0.298639
8, 0.003227, 0.297719
8, 0.003272, 0.296497
8, 0.003191, 0.297047
8, 0.003188, 0.298516
8, 0.003228, 0.300879
8, 0.003346, 0.301099
8, 0.003219, 0.297374
8, 0.003222, 0.298651
8, 0.003155, 0.298728
8, 0.003208, 0.297907
8, 0.003195, 0.300267
8, 0.003422, 0.301474
8, 0.003270, 0.302667
8, 0.003267, 0.302072
8, 0.003210, 0.301026
8, 0.003247, 0.303041
8, 0.003241, 0.301736
8, 0.003421, 0.301732
8, 0.003288, 0.303228
8, 0.003264, 0.301435
8, 0.003241, 0.300161
8, 0.003219, 0.301087
8, 0.003222, 0.299404
8, 0.003391, 0.300621
8, 0.003231, 0.299153
8, 0.003231, 0.302354
8, 0.003245, 0.300312
8, 0.003199, 0.298021
8, 0.003199, 0.299350
8, 0.003393, 0.301487
8, 0.003213, 0.298133
8, 0.003231, 0.302813
8, 0.003199, 0.300696
8, 0.003234, 0.300102
8, 0.003189, 0.298791
8, 0.003363, 0.300367
8, 0.003244, 0.297466
8, 0.003232, 0.298162
8, 0.003218, 0.300352
8, 0.003215, 0.298837
8, 0.003189, 0.297378
8, 0.003377, 0.300955
8, 0.003281, 0.299151
8, 0.003226, 0.298581
8, 0.003183, 0.299178
8, 0.003217, 0.298698
8, 0.003224, 0.299414
8, 0.003393, 0.299603
8, 0.003294, 0.299570
8, 0.003221, 0.299423
8, 0.003204, 0.299191
8, 0.003206, 0.299177
8, 0.003215, 0.299454
8, 0.003391, 0.299672
8, 0.003209, 0.298360
8, 0.003219, 0.298684
8, 0.003257, 0.299965
8, 0.003210, 0.299598
8, 0.003185, 0.297644
8, 0.003379, 0.300605
8, 0.003247, 0.298249
8, 0.003243, 0.298750
8, 0.003213, 0.297906
8, 0.003199, 0.297855
8, 0.003215, 0.299236
8, 0.003419, 0.299870
8, 0.003247, 0.299239
8, 0.003234, 0.298600
8, 0.003211, 0.298512
8, 0.003222, 0.300444
8, 0.003222, 0.300122
8, 0.003366, 0.299871
8, 0.003208, 0.298043
8, 0.003224, 0.300474
8, 0.003230, 0.300977
8, 0.003188, 0.300177
