#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.001685, 0.059207
5, 0.001697, 0.059268
5, 0.001689, 0.059087
5, 0.001697, 0.059853
5, 0.001710, 0.059653
5, 0.001672, 0.059480
5, 0.001682, 0.059475
5, 0.001694, 0.059627
5, 0.001672, 0.059305
5, 0.001674, 0.059358
5, 0.001704, 0.059505
5, 0.001688, 0.059179
5, 0.001678, 0.059321
5, 0.001686, 0.059506
5, 0.001693, 0.059235
5, 0.001674, 0.059561
5, 0.001695, 0.059560
5, 0.001701, 0.059267
5, 0.001661, 0.059047
5, 0.001687, 0.059228
5, 0.001674, 0.059320
5, 0.001674, 0.059662
5, 0.001681, 0.059580
5, 0.001678, 0.059198
5, 0.001706, 0.059608
5, 0.001681, 0.059372
5, 0.001682, 0.059710
5, 0.001693, 0.059722
5, 0.001687, 0.059688
5, 0.001699, 0.059182
5, 0.001681, 0.059842
5, 0.001688, 0.059632
5, 0.001690, 0.059709
5, 0.001693, 0.068601
5, 0.001696, 0.059571
5, 0.001686, 0.059848
5, 0.001698, 0.059074
5, 0.001684, 0.059498
5, 0.001684, 0.059790
5, 0.001706, 0.059831
5, 0.001689, 0.060017
5, 0.001692, 0.059273
5, 0.001680, 0.059387
5, 0.001692, 0.059773
5, 0.001698, 0.059459
5, 0.001687, 0.059373
5, 0.001673, 0.059263
5, 0.001683, 0.059289
5, 0.001676, 0.059457
5, 0.001679, 0.059313
5, 0.001724, 0.059623
5, 0.001686, 0.059727
5, 0.001702, 0.059687
5, 0.001720, 0.059524
5, 0.001692, 0.059391
5, 0.001720, 0.059968
5, 0.001688, 0.059718
5, 0.001699, 0.059707
5, 0.001709, 0.059414
5, 0.001689, 0.059542
5, 0.001690, 0.059527
5, 0.001670, 0.059224
5, 0.001679, 0.059087
5, 0.001701, 0.059037
5, 0.001704, 0.059376
5, 0.001694, 0.059901
5, 0.001739, 0.059497
5, 0.001674, 0.059604
5, 0.001692, 0.059639
5, 0.001702, 0.059330
5, 0.001688, 0.059486
5, 0.001729, 0.059643
5, 0.001702, 0.059368
5, 0.001706, 0.059700
5, 0.001723, 0.059789
5, 0.001686, 0.059386
5, 0.001727, 0.059398
5, 0.001707, 0.059693
5, 0.001665, 0.059816
5, 0.001690, 0.059025
5, 0.001697, 0.059391
5, 0.001703, 0.059406
5, 0.001687, 0.059230
5, 0.001664, 0.059223
5, 0.001681, 0.059709
5, 0.001685, 0.059654
5, 0.001692, 0.060158
5, 0.001696, 0.059853
5, 0.001679, 0.059342
5, 0.001676, 0.059450
5, 0.001682, 0.059109
5, 0.001670, 0.059182
5, 0.001685, 0.059615
5, 0.001705, 0.060198
5, 0.001678, 0.059382
5, 0.001678, 0.059245
5, 0.001686, 0.059503
5, 0.001685, 0.059767
5, 0.001690, 0.059564
5, 0.001678, 0.059390
