#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.001694, 0.056902
5, 0.001684, 0.057030
5, 0.001716, 0.056907
5, 0.001684, 0.056559
5, 0.001695, 0.056740
5, 0.001744, 0.056364
5, 0.001704, 0.056773
5, 0.001702, 0.056493
5, 0.001706, 0.056343
5, 0.001693, 0.056385
5, 0.001715, 0.055686
5, 0.001726, 0.056075
5, 0.001708, 0.056111
5, 0.001690, 0.055748
5, 0.001700, 0.056085
5, 0.001688, 0.055476
5, 0.001700, 0.055816
5, 0.001708, 0.056012
5, 0.001706, 0.055772
5, 0.001714, 0.055879
5, 0.001696, 0.055938
5, 0.001708, 0.056044
5, 0.001712, 0.055690
5, 0.001704, 0.055788
5, 0.001694, 0.056313
5, 0.001711, 0.055651
5, 0.001697, 0.056140
5, 0.001717, 0.056459
5, 0.001702, 0.055760
5, 0.001714, 0.056231
5, 0.001691, 0.056048
5, 0.001691, 0.055317
5, 0.001695, 0.055660
5, 0.001730, 0.055952
5, 0.001699, 0.056163
5, 0.001711, 0.055996
5, 0.001713, 0.056346
5, 0.001700, 0.056194
5, 0.001736, 0.056107
5, 0.001718, 0.056318
5, 0.001724, 0.056344
5, 0.001702, 0.056130
5, 0.001721, 0.056275
5, 0.001739, 0.055519
5, 0.001724, 0.055739
5, 0.001704, 0.056013
5, 0.001720, 0.056051
5, 0.001726, 0.056545
5, 0.001695, 0.056251
5, 0.001729, 0.055801
5, 0.001702, 0.055945
5, 0.001724, 0.055983
5, 0.001704, 0.055788
5, 0.001728, 0.056697
5, 0.001718, 0.056684
5, 0.001717, 0.056451
5, 0.001734, 0.057048
5, 0.001720, 0.056501
5, 0.001705, 0.055784
5, 0.001722, 0.055782
5, 0.001709, 0.056449
5, 0.001712, 0.056147
5, 0.001706, 0.056025
5, 0.001707, 0.056322
5, 0.001723, 0.056168
5, 0.001715, 0.056330
5, 0.001713, 0.056037
5, 0.001726, 0.055597
5, 0.001704, 0.056218
5, 0.001721, 0.055889
5, 0.001710, 0.055710
5, 0.001694, 0.055617
5, 0.001719, 0.055833
5, 0.001721, 0.055740
5, 0.001729, 0.055537
5, 0.001699, 0.056567
5, 0.001717, 0.055748
5, 0.001695, 0.055843
5, 0.001726, 0.055886
5, 0.001701, 0.056256
5, 0.001711, 0.056175
5, 0.001695, 0.055794
5, 0.001696, 0.055710
5, 0.001694, 0.055609
5, 0.001715, 0.056024
5, 0.001684, 0.055843
5, 0.001714, 0.056053
5, 0.001716, 0.055957
5, 0.001729, 0.056184
5, 0.001707, 0.055875
5, 0.001724, 0.055897
5, 0.001690, 0.055623
5, 0.001705, 0.055559
5, 0.001691, 0.055940
5, 0.017872, 0.055861
5, 0.001683, 0.055471
5, 0.001703, 0.055822
5, 0.001705, 0.055691
5, 0.001685, 0.056018
5, 0.001695, 0.056386
